"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"","1,1 "
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER IND Ki,rodi Lal ,"",433666 
"",RUNER-UP IND Q,ummer Rubba,ni ,295907 
"",MARGIN 137759 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :12 
"",Constituency :TONK-SAWAI MADHOPUR ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,29 ,1 ,30 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,10 ,0 ,10 
"",4. CONTESTED ,16 ,1 ,17 
"",5. FORFEITED DEPOSIT ,14 ,1 ,15 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,799599 ,709076 ,1508675 
"",2. SERVICE ,883 ,489 ,1372 
"",3. TOTAL ,800482 ,709565 ,1510047 
"",III.VOTERS ,"","",""
"",1. GENERAL ,463896 ,337860 ,801756 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",355 
"",4. TOTAL ,"","",802111 
"",III(A). POLLING PERCENTAGE 53.12 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",7 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",802104 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1736 ,AVERAGE ,ELECTORS PER POLLING S,TATION 869 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-10-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",21 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC N,amo Narain ,"",375572 
"",RUNER-UP BJP Ki,rori Singh Bain,sla ,375255 
"",MARGIN 317 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :13 
"",Constituency :Ajmer ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,3 ,17 
"",2. NOMINATION REJECTED ,7 ,0 ,7 
"",3. WITHDRAWN ,1 ,1 ,2 
"",4. CONTESTED ,6 ,2 ,8 
"",5. FORFEITED DEPOSIT ,5 ,1 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,750811 ,701679 ,1452490 
"",2. SERVICE ,1783 ,1066 ,2849 
"",3. TOTAL ,752594 ,702745 ,1455339 
"",III.VOTERS ,"","",""
"",1. GENERAL ,412875 ,358002 ,770877 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",283 
"",4. TOTAL ,"","",771160 
"",III(A). POLLING PERCENTAGE 52.99 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",171 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",770989 
"",4. TENDERED VOTES ,"","",34 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1561 ,AVERAGE ,ELECTORS PER POLLING S,TATION 930 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Sa,chin Pilot ,"",405575 
"",RUNER-UP BJP Ki,ran Maheshwa,ri ,329440 
"",MARGIN 76135 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :14 
"",Constituency :Nagaur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,9 ,2 ,11 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,6 ,2 ,8 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,769622 ,708186 ,1477808 
"",2. SERVICE ,5507 ,2992 ,8499 
"",3. TOTAL ,775129 ,711178 ,1486307 
"",III.VOTERS ,"","",""
"",1. GENERAL ,334921 ,274224 ,609145 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",734 
"",4. TOTAL ,"","",609879 
"",III(A). POLLING PERCENTAGE 41.03 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",610 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",609269 
"",4. TENDERED VOTES ,"","",10 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1591 ,AVERAGE ,ELECTORS PER POLLING S,TATION 928 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC D,r. Jyoti Mirdha,"",333261 
"",RUNER-UP BJP Bi,ndu Chaudhar,y ,178124 
"",MARGIN 155137 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :15 
"",Constituency :Pali ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,27 ,2 ,29 
"",2. NOMINATION REJECTED ,8 ,0 ,8 
"",3. WITHDRAWN ,5 ,2 ,7 
"",4. CONTESTED ,14 ,0 ,14 
"",5. FORFEITED DEPOSIT ,12 ,0 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,873198 ,806269 ,1679467 
"",2. SERVICE ,2278 ,968 ,3246 
"",3. TOTAL ,875476 ,807237 ,1682713 
"",III.VOTERS ,"","",""
"",1. GENERAL ,403369 ,317436 ,720805 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",2065 
"",4. TOTAL ,"","",722870 
"",III(A). POLLING PERCENTAGE 42.96 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",315 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",722555 
"",4. TENDERED VOTES ,"","",9 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1805 ,AVERAGE ,ELECTORS PER POLLING S,TATION 930 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-10-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",8 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ba,dri Ram Jakh,ar ,387604 
"",RUNER-UP BJP Pu,sp Jain ,"",190887 
"",MARGIN 196717 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :16 
"",Constituency :Jodhpur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,26 ,5 ,31 
"",2. NOMINATION REJECTED ,5 ,2 ,7 
"",3. WITHDRAWN ,10 ,0 ,10 
"",4. CONTESTED ,11 ,3 ,14 
"",5. FORFEITED DEPOSIT ,10 ,2 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,796284 ,705183 ,1501467 
"",2. SERVICE ,3774 ,1580 ,5354 
"",3. TOTAL ,800058 ,706763 ,1506821 
"",III.VOTERS ,"","",""
"",1. GENERAL ,392545 ,285342 ,677887 
"",2. PROXY ,"","",1 
"",3. POSTAL ,"","",3584 
"",4. TOTAL ,"","",681472 
"",III(A). POLLING PERCENTAGE 45.23 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",433 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",681039 
"",4. TENDERED VOTES ,"","",28 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1582 ,AVERAGE ,ELECTORS PER POLLING S,TATION 949 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC C,handresh Kum,ari ,361577 
"",RUNER-UP BJP Ja,swant Singh B,isnoi ,263248 
"",MARGIN 98329 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :17 
"",Constituency :Barmer ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,17 ,0 ,17 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,7 ,0 ,7 
"",4. CONTESTED ,7 ,0 ,7 
"",5. FORFEITED DEPOSIT ,5 ,0 ,5 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,768296 ,671780 ,1440076 
"",2. SERVICE ,960 ,420 ,1380 
"",3. TOTAL ,769256 ,672200 ,1441456 
"",III.VOTERS ,"","",""
"",1. GENERAL ,435499 ,348181 ,783680 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1519 
"",4. TOTAL ,"","",785199 
"",III(A). POLLING PERCENTAGE 54.47 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",202 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",784997 
"",4. TENDERED VOTES ,"","",21 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 2274 ,AVERAGE ,ELECTORS PER POLLING S,TATION 633 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-10-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC H,arish Choudha,ry ,416497 
"",RUNER-UP BJP M,anvendra Sing,h ,297391 
"",MARGIN 119106 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :18 
"",Constituency :Jalore ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,35 ,3 ,38 
"",2. NOMINATION REJECTED ,10 ,0 ,10 
"",3. WITHDRAWN ,6 ,0 ,6 
"",4. CONTESTED ,19 ,3 ,22 
"",5. FORFEITED DEPOSIT ,17 ,2 ,19 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,800222 ,720597 ,1520819 
"",2. SERVICE ,87 ,51 ,138 
"",3. TOTAL ,800309 ,720648 ,1520957 
"",III.VOTERS ,"","",""
"",1. GENERAL ,338166 ,239185 ,577351 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",255 
"",4. TOTAL ,"","",577606 
"",III(A). POLLING PERCENTAGE 37.98 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",51 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",577555 
"",4. TENDERED VOTES ,"","",31 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1621 ,AVERAGE ,ELECTORS PER POLLING S,TATION 938 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP D,evji Patel ,"",194503 
"",RUNER-UP IND Bu,ta Singh ,"",144698 
"",MARGIN 49805 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :19 
"",Constituency :Udaipur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,7 ,1 ,8 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,7 ,1 ,8 
"",5. FORFEITED DEPOSIT ,5 ,1 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,802263 ,761592 ,1563855 
"",2. SERVICE ,170 ,112 ,282 
"",3. TOTAL ,802433 ,761704 ,1564137 
"",III.VOTERS ,"","",""
"",1. GENERAL ,402414 ,355346 ,757760 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",687 
"",4. TOTAL ,"","",758447 
"",III(A). POLLING PERCENTAGE 48.49 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",240 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",207 
"",3. TOTAL VALID VOTES POLLED ,"","",758000 
"",4. TENDERED VOTES ,"","",16 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1858 ,AVERAGE ,ELECTORS PER POLLING S,TATION 841 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC R,aghuvir Singh ,Meena ,411510 
"",RUNER-UP BJP M,ahaveer Bhag,ora ,246585 
"",MARGIN 164925 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :20 
"",Constituency :Banswara ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,6 ,1 ,7 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,6 ,1 ,7 
"",5. FORFEITED DEPOSIT ,4 ,1 ,5 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,741763 ,716092 ,1457855 
"",2. SERVICE ,74 ,51 ,125 
"",3. TOTAL ,741837 ,716143 ,1457980 
"",III.VOTERS ,"","",""
"",1. GENERAL ,388804 ,379968 ,768772 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",940 
"",4. TOTAL ,"","",769712 
"",III(A). POLLING PERCENTAGE 52.79 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",161 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",959 
"",3. TOTAL VALID VOTES POLLED ,"","",768592 
"",4. TENDERED VOTES ,"","",9 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1766 ,AVERAGE ,ELECTORS PER POLLING S,TATION 825 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ta,rachand Bhag,ora ,413169 
"",RUNER-UP BJP H,akaru Maida ,"",213751 
"",MARGIN 199418 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :21 
"",Constituency :Chittorgarh ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,13 ,4 ,17 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,11 ,4 ,15 
"",5. FORFEITED DEPOSIT ,10 ,3 ,13 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,816725 ,784343 ,1601068 
"",2. SERVICE ,243 ,133 ,376 
"",3. TOTAL ,816968 ,784476 ,1601444 
"",III.VOTERS ,"","",""
"",1. GENERAL ,447377 ,346585 ,793962 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",919 
"",4. TOTAL ,"","",794881 
"",III(A). POLLING PERCENTAGE 49.64 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",411 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",81 
"",3. TOTAL VALID VOTES POLLED ,"","",794389 
"",4. TENDERED VOTES ,"","",20 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1957 ,AVERAGE ,ELECTORS PER POLLING S,TATION 818 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC (D,r.)girija Vyas ,"",399663 
"",RUNER-UP BJP Sh,richand Kripla,ni ,326885 
"",MARGIN 72778 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :22 
"",Constituency :Rajsamand ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,18 ,0 ,18 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,13 ,0 ,13 
"",5. FORFEITED DEPOSIT ,11 ,0 ,11 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,761899 ,723253 ,1485152 
"",2. SERVICE ,2588 ,1491 ,4079 
"",3. TOTAL ,764487 ,724744 ,1489231 
"",III.VOTERS ,"","",""
"",1. GENERAL ,319112 ,270805 ,589917 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1064 
"",4. TOTAL ,"","",590981 
"",III(A). POLLING PERCENTAGE 39.68 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",655 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",590326 
"",4. TENDERED VOTES ,"","",13 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1791 ,AVERAGE ,ELECTORS PER POLLING S,TATION 829 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-10-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC G,opal Singh ,"",294451 
"",RUNER-UP BJP R,asa Singh Raw,at ,248561 
"",MARGIN 45890 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :23 
"",Constituency :Bhilwara ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,18 ,1 ,19 
"",2. NOMINATION REJECTED ,3 ,1 ,4 
"",3. WITHDRAWN ,5 ,0 ,5 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,8 ,0 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,768465 ,722940 ,1491405 
"",2. SERVICE ,852 ,430 ,1282 
"",3. TOTAL ,769317 ,723370 ,1492687 
"",III.VOTERS ,"","",""
"",1. GENERAL ,402004 ,351703 ,753707 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",750 
"",4. TOTAL ,"","",754457 
"",III(A). POLLING PERCENTAGE 50.54 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",251 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",754206 
"",4. TENDERED VOTES ,"","",37 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1870 ,AVERAGE ,ELECTORS PER POLLING S,TATION 797 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC D,r. C. P. Joshi ,"",413128 
"",RUNER-UP BJP Vi,jayendra Pal S,ingh ,277760 
"",MARGIN 135368 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :24 
"",Constituency :Kota ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,2 ,16 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,12 ,2 ,14 
"",5. FORFEITED DEPOSIT ,10 ,2 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,791967 ,706407 ,1498374 
"",2. SERVICE ,421 ,176 ,597 
"",3. TOTAL ,792388 ,706583 ,1498971 
"",III.VOTERS ,"","",""
"",1. GENERAL ,404601 ,277047 ,681648 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",764 
"",4. TOTAL ,"","",682412 
"",III(A). POLLING PERCENTAGE 45.53 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",389 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",606 
"",3. TOTAL VALID VOTES POLLED ,"","",681417 
"",4. TENDERED VOTES ,"","",14 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1788 ,AVERAGE ,ELECTORS PER POLLING S,TATION 838 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ijy,araj Singh ,"",360486 
"",RUNER-UP BJP Sh,yam Sharma ,"",277393 
"",MARGIN 83093 ,"","",""


"",State/UT :S20 ,"","",Code :S20 
"","","","",No. :25 
"",Constituency :JHALAWAR-BARAN ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,15 ,3 ,18 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,12 ,2 ,14 
"",5. FORFEITED DEPOSIT ,11 ,1 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,755172 ,691655 ,1446827 
"",2. SERVICE ,216 ,114 ,330 
"",3. TOTAL ,755388 ,691769 ,1447157 
"",III.VOTERS ,"","",""
"",1. GENERAL ,501559 ,370762 ,872321 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",152 
"",4. TOTAL ,"","",872473 
"",III(A). POLLING PERCENTAGE 60.29 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",609 
"",3. TOTAL VALID VOTES POLLED ,"","",871863 
"",4. TENDERED VOTES ,"","",39 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1900 ,AVERAGE ,ELECTORS PER POLLING S,TATION 761 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-10-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",2 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP D,ushyant Singh,"",429096 
"",RUNER-UP INC U,"rmila Jain ""bha","ya"" ",376255 
"",MARGIN 52841 ,"","",""


"",State/UT :S21 ,"","",Code :S21 
"","","","",No. :1 
"",Constituency :Sikkim ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,0 ,8 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,7 ,0 ,7 
"",5. FORFEITED DEPOSIT ,5 ,0 ,5 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,157011 ,143154 ,300165 
"",2. SERVICE ,351 ,68 ,419 
"",3. TOTAL ,157362 ,143222 ,300584 
"",III.VOTERS ,"","",""
"",1. GENERAL ,127201 ,118668 ,245869 
"",2. PROXY ,"","",1 
"",3. POSTAL ,"","",5906 
"",4. TOTAL ,"","",251776 
"",III(A). POLLING PERCENTAGE 83.76 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",499 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",24 
"",3. TOTAL VALID VOTES POLLED ,"","",251253 
"",4. TENDERED VOTES ,"","",13 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 493 ,AVERAGE ,ELECTORS PER POLLING S,TATION 608 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-04-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",2 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER SDF Pr,em Das Rai ,"",159351 
"",RUNER-UP INC Kh,arananda Up,reti ,74483 
"",MARGIN 84868 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :1 
"",Constituency :Thiruvallur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,20 ,2 ,22 
"",2. NOMINATION REJECTED ,5 ,1 ,6 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,13 ,1 ,14 
"",5. FORFEITED DEPOSIT ,12 ,0 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,605347 ,598216 ,1203563 
"",2. SERVICE ,535 ,111 ,646 
